"Status","Name","Duration in ms","Description"
"passed","test_3#test_dkej","0",""
"passed","test_3#test_search","0",""
"passed","test_3#test_dkej","1",""
"passed","test_allure_command#test_success","0",""
"passed","test_2.TestDemo#test_demo1","0",""
"passed","test_3#test_dkej","0",""
"passed","test_2#test_case1","0",""
"passed","test_yaml.TestDemo#test_demo","0",""
"passed","test_3#test_dkej","1",""
"passed","test_3#test_search","1",""
"failed","test_allure_command#test_failure","0",""
"passed","test_3#test_dkej","1",""
"passed","test_3#test_dkej","1",""
"passed","test_raise1#test_raise1","0",""
"passed","test_raise1#test_raise","1",""
"passed","test_3#test_search2","0",""
"passed","test_3#test_dkej","0",""
"passed","test_3#test_search","0",""
"passed","test_3#test_search2","0",""
"passed","test_2.TestDemo#test_demo2","0",""
"broken","test_allure_command#test_broken","0",""
"passed","test_2#test_case2","0",""
"passed","test_3#test_dkej","0",""
"passed","test_3#test_dkej","1",""
"skipped","test_allure_command#test_skip","0",""
